"";"resource_TG";"consumer_TG";"interaction_type";"scientificName_consumer";"key_consumer";"scientificName_resource";"key_resource";"cooccur"
"1";"bact_sapro";"bacterivore";"eats";"Glissomonadida";"9774063";"Acetobacteraceae";"4728";1
"2";"bact_sapro";"bacterivore";"eats";"Glissomonadida";"9774063";"Acidothermaceae";"8071";1
"3";"bact_sapro";"bacterivore";"eats";"Glissomonadida";"9774063";"Actinospicaceae";"4902454";1
"4";"bact_sapro";"bacterivore";"eats";"Glissomonadida";"9774063";"Acidimicrobiaceae";"3848";1
"5";"bact_sapro";"bacterivore";"eats";"Glissomonadida";"9774063";"Acidobacteriaceae";"3811";1
"6";"bact_sapro";"bacterivore";"eats";"Glissomonadida";"9774063";"JG30-KF-CM45";"3_04";1
"7";"bact_sapro";"bacterivore";"eats";"Glissomonadida";"9774063";"Aquaspirillaceae";"362_01";1
"8";"bact_sapro";"bacterivore";"eats";"Glissomonadida";"9774063";"Ktedonobacteraceae";"4899883";1
"9";"bact_sapro";"bacterivore";"eats";"Glissomonadida";"9774063";"Archangiaceae";"4306455";1
"10";"bact_sapro";"bacterivore";"eats";"Glissomonadida";"9774063";"0319-6G20";"3_01";1
"11";"bact_sapro";"bacterivore";"eats";"Glissomonadida";"9774063";"67-14";"3_02";1
"12";"bact_sapro";"bacterivore";"eats";"Glissomonadida";"9774063";"Beijerinckiaceae";"7813";1
"13";"bact_sapro";"bacterivore";"eats";"Glissomonadida";"9774063";"Burkholderiaceae";"5438";1
"14";"bact_sapro";"bacterivore";"eats";"Glissomonadida";"9774063";"Catenulisporaceae";"3830";1
"15";"bact_sapro";"bacterivore";"eats";"Glissomonadida";"9774063";"Caulobacteraceae";"4723";1
"16";"bact_sapro";"bacterivore";"eats";"Glissomonadida";"9774063";"Micromonosporaceae";"3838";1
"17";"bact_sapro";"bacterivore";"eats";"Glissomonadida";"9774063";"Isosphaeraceae";"9596100";1
"18";"bact_sapro";"bacterivore";"eats";"Glissomonadida";"9774063";"Alicyclobacillaceae";"4704";1
"19";"bact_sapro";"bacterivore";"eats";"Glissomonadida";"9774063";"Mitochondria";"3_09";1
"20";"bact_sapro";"bacterivore";"eats";"Glissomonadida";"9774063";"Chitinophagaceae";"4903787";1
"21";"bact_sapro";"bacterivore";"eats";"Glissomonadida";"9774063";"Chthoniobacteraceae";"9890342";1
